threshold,accepted_count,coverage,selective_accuracy,selective_risk,escalation_rate
0.8713235750794411,1,0.002,0.0,1.0,0.998
0.8415859043598175,2,0.004,0.5,0.5,0.996
0.8319973364472389,3,0.006,0.3333333333333333,0.6666666666666667,0.994
0.8292744904756546,4,0.008,0.25,0.75,0.992
0.8284058526158333,5,0.01,0.2,0.8,0.99
0.8271406561136246,6,0.012,0.3333333333333333,0.6666666666666667,0.988
0.826025727391243,7,0.014,0.42857142857142855,0.5714285714285714,0.986
0.82213853597641,8,0.016,0.5,0.5,0.984
0.8205347880721092,9,0.018,0.4444444444444444,0.5555555555555556,0.982
0.8204220548272133,10,0.02,0.5,0.5,0.98
0.8138101771473885,11,0.022,0.45454545454545453,0.5454545454545454,0.978
0.81131861358881,12,0.024,0.5,0.5,0.976
0.8098768040537834,13,0.026,0.46153846153846156,0.5384615384615384,0.974
0.8091007351875306,14,0.028,0.42857142857142855,0.5714285714285714,0.972
0.8077401846647263,15,0.03,0.4,0.6,0.97
0.8074654266238213,16,0.032,0.375,0.625,0.968
0.8044458314776421,17,0.034,0.4117647058823529,0.5882352941176471,0.966
0.8040018841624261,18,0.036,0.3888888888888889,0.6111111111111112,0.964
0.8034373283386231,19,0.038,0.3684210526315789,0.631578947368421,0.962
0.8023933574557305,20,0.04,0.35,0.65,0.96
0.7978882297873497,21,0.042,0.3333333333333333,0.6666666666666667,0.958
0.7970759317278863,22,0.044,0.3181818181818182,0.6818181818181819,0.956
0.7954585008323193,23,0.046,0.30434782608695654,0.6956521739130435,0.954
0.7930663034319878,24,0.048,0.2916666666666667,0.7083333333333333,0.952
0.7919236429035664,25,0.05,0.28,0.72,0.95
0.7913059622049332,26,0.052,0.2692307692307692,0.7307692307692308,0.948
0.7909111604094505,27,0.054,0.2962962962962963,0.7037037037037037,0.946
0.7907296344637871,28,0.056,0.2857142857142857,0.7142857142857143,0.944
0.7893002778291702,29,0.058,0.3103448275862069,0.6896551724137931,0.942
0.7890791788697242,30,0.06,0.3333333333333333,0.6666666666666667,0.94
0.7890359073877335,31,0.062,0.3225806451612903,0.6774193548387097,0.938
0.7890193551778794,32,0.064,0.3125,0.6875,0.9359999999999999
0.7888865239918232,33,0.066,0.30303030303030304,0.696969696969697,0.9339999999999999
0.7888801977038384,34,0.068,0.29411764705882354,0.7058823529411764,0.9319999999999999
0.7883316025137902,35,0.07,0.3142857142857143,0.6857142857142857,0.9299999999999999
0.7864906132221222,36,0.072,0.3055555555555556,0.6944444444444444,0.928
0.7862521514296532,37,0.074,0.2972972972972973,0.7027027027027026,0.926
0.7855167746543885,38,0.076,0.2894736842105263,0.7105263157894737,0.924
0.7841488584876062,39,0.078,0.28205128205128205,0.717948717948718,0.922
0.7834985166788102,40,0.08,0.275,0.725,0.92
0.7827174842357636,41,0.082,0.2926829268292683,0.7073170731707317,0.918
0.7825717419385911,42,0.084,0.30952380952380953,0.6904761904761905,0.916
0.7825445882976055,43,0.086,0.32558139534883723,0.6744186046511628,0.914
0.7818440631031991,44,0.088,0.3181818181818182,0.6818181818181819,0.912
0.7794580206274986,45,0.09,0.3333333333333333,0.6666666666666667,0.91
0.776813018321991,46,0.092,0.32608695652173914,0.6739130434782609,0.908
0.776603126525879,47,0.094,0.3404255319148936,0.6595744680851063,0.906
0.7760193206369876,48,0.096,0.3541666666666667,0.6458333333333333,0.904
0.7756865091621876,49,0.098,0.3469387755102041,0.653061224489796,0.902
0.77346810400486,50,0.1,0.34,0.6599999999999999,0.9
0.7729323633015156,51,0.102,0.35294117647058826,0.6470588235294117,0.898
0.7729189276695252,52,0.104,0.36538461538461536,0.6346153846153846,0.896
0.7723996102809907,53,0.106,0.37735849056603776,0.6226415094339622,0.894
0.771290184557438,54,0.108,0.37037037037037035,0.6296296296296297,0.892
0.7709063321352005,55,0.11,0.38181818181818183,0.6181818181818182,0.89
0.7707401968538762,56,0.112,0.39285714285714285,0.6071428571428572,0.888
0.770600900053978,57,0.114,0.40350877192982454,0.5964912280701755,0.886
0.770445939898491,58,0.116,0.39655172413793105,0.603448275862069,0.884
0.7701675161719322,59,0.118,0.4067796610169492,0.5932203389830508,0.882
0.7686252318322659,60,0.12,0.4,0.6,0.88
0.7685637921094894,61,0.122,0.39344262295081966,0.6065573770491803,0.878
0.7684424683451654,62,0.124,0.4032258064516129,0.5967741935483871,0.876
0.768208147585392,63,0.126,0.3968253968253968,0.6031746031746033,0.874
0.768025951832533,64,0.128,0.390625,0.609375,0.872
0.7677851490676404,65,0.13,0.38461538461538464,0.6153846153846154,0.87
0.7677034929394722,66,0.132,0.3787878787878788,0.6212121212121212,0.868
0.7668351471424103,67,0.134,0.373134328358209,0.6268656716417911,0.866
0.7658243760466577,68,0.136,0.36764705882352944,0.6323529411764706,0.864
